ID,Category,Service Provider/Name,Contact Number,Notes/Location
1,Appliances,Abbas Washing Machine Repair,018-9864649,
2,Health,Klinik Sariah BBN,06-8501005,
3,Garden,Solihin (lawn n tree cutter),013-2412995,
4,Education,Kids Quran recitation teachers,011-19474571,
5,Cleaning,Home Cleaning Service,017-2870252,Multiple numbers: 011-1511 / 011-35019270
6,Gas,Gas MS Deen Store Desa Jati,016-8501079,
7,Gas,Gas Delivery Lorry,012-7261683,
8,Waste/Auto,Roro Service & Scrap Kereta,011-31739618,Aruvil (PT22177 jln1)
9,Massage,Tukang Urut Wanita,017-6544850,Tmn Semarak
10,Food,Rinn Daging Salai & Sambal,011-18548459,
11,Electrical,Dayat Electrician,013-6004172,
12,Appliances,Alex repair tv,019-6204842,
13,Events/Security,Events Management & Security,012-2559469,
14,Plumbing,Awe USIM Plumber,012-3381579,
15,Appliances/Plumbing,Che Mad USIM,019-9700690,Plumber & Washing Machine
16,Appliances/Electrical,Zamri Elektrik,017-2303474,Fridge / Washer / Microwave
17,Education,Cikgu Hanif Tuition English,,Desa Kolej
18,Auto,Seng Kong tyre auto service,019-2211344,Pendek
19,Massage,Tukang Urut (Kak Seri),016-6360559,
20,Massage,Tukang urut lelaki En. Hussin,012-9152713,
21,Massage,Tukang Urut Lelaki Hj. Ismail,012-2267355,175 Jln Jati 13
22,Education,Ustaz Abid/Ustazah Syahirah,013-3282398,Private Home Mengaji
23,Food/Education,Ida homecooking & Tutor,017-3312092,Pastries / English SPM
24,Education,Nantha Private tutor,016-3985084,UPSR/PT3 English & Math
25,Insurance,Norkhasiah Insurance,013-7777476,Vehicle / Travel / General
26,Transport,Adikme Transportation,013-3807100,Bus & Van / Holiday packages
27,Food,Sham catering n kuih talam,016-7172240,
28,Health,Milkbooster + nursing outfit,012-3419239,
29,Transport,Lorry Transport,012-6384040,House/Office moving
30,Insurance,Mastura General Insurance,012-6877604,Vehicle / Fire / Office
31,Construction,Kontraktor rumah-kamarul dk,012-6672815,
32,IT,Computer & laptop service,016-3813827,Premkumar / Seelan (0126478864)
33,Events/Food,Azhararis (Photo/Kambing),019-2728022,lifestyledocumentary.com
34,Appliances,Tam Repair Washing Machine,011-10175221,
36,Food/Printing,Rudi - Homecooked/Printing,010-5438376,
37,Massage,Tukang urut wanita k.Mah,011-82474286,Desa Kolej
38,Transport,Lorry Sewa En.zul,013-6461835,
39,IT/Phone,Dotty solution desa melati,010-8092610,016-3887092
40,Grooming,Kak Kin (Home Haircut),019-2306671,Women only
41,Massage,Kak Yus,017-6606408,Desa Indah
42,Appliances,Farzli Washing Machine,010-2340036,012-2710313
43,Plumbing,Azman Plumbing,019-3793331,
44,Events,Faizal Sewa meja & kerusi,012-3446634,
45,Aircon,Abg Z Baiki Aicond,013-2099845,
46,Food,Catering Nasi Briyani,013-3533546,
47,Cleaning,MFS Cleaning Services,017-6167389,
48,Massage,Azzif (Urutan Simpul),012-22697304,Male therapist
49,Food,Mee Delimaz (Ain),019-3337817,Bumiputera products
50,Food,Faridah Pes Asam Pedas,013-2910188,
51,Food,Ziela Dessert Baker,012-6587304,
52,Food/Beauty,Dalia (Kuih/Beauty),011-11264824,Noir Beauty Consultant
53,Auto Gate,Ah chai auto gate nilai,019-3848934,
54,Auto Gate,Global (Mr Chin),012-2092118,06-85002889
